Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
13T0920,439386,432651,2,1,29/03/2014,1315,3,1,1,1,1,1,1,67,5
14K0229,429360,433720,1,2,20/04/2014,349,2,1,4,1,2,1,1,24,9
15E1547,431456,439242,3,1,14/05/2014,1920,6,1,1,1,1,1,1,36,4
16E1528,430877,429790,1,1,14/06/2014,1935,6,1,1,1,3,1,2,1,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,1,1,1,24,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,2,1,1,25,9
1811797,422583,427879,2,2,01/08/2014,2315,3,2,4,1,1,1,2,28,9
18A1643,430785,433439,1,1,10/08/2014,2302,3,2,4,5,3,1,1,48,11
18M0442,439395,430805,2,1,22/08/2014,1110,6,1,1,1,1,1,1,43,5
19A0520,428506,433960,1,2,10/09/2014,1150,3,1,1,1,3,1,2,23,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,1,1,1,77,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,2,1,2,88,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,1,1,1,28,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,2,1,2,25,9
19K1055,431942,438112,1,2,20/09/2014,1545,6,2,1,1,2,1,1,23,9
1A21470,428015,426158,1,1,02/10/2014,2020,3,1,4,1,1,1,1,52,21
1AP1208,443588,435652,1,1,25/10/2014,1640,4,1,1,1,1,1,1,61,9
1BQ0425,436295,434707,1,1,26/11/2014,1051,6,1,1,1,3,1,2,83,21
1C40188,439923,428815,5,3,04/12/2014,736,6,2,6,1,1,1,1,17,9
1CA1274,435776,436795,1,1,10/12/2014,1830,3,2,4,5,3,1,1,30,9
1CI1594,437870,432950,1,1,18/12/2014,2050,2,2,6,2,3,1,1,51,21
1CQ0913,432565,439367,2,1,26/12/2014,1752,3,2,4,2,1,1,1,58,9
1CQ0917,429965,427061,1,1,26/12/2014,1754,6,2,4,2,3,1,1,63,11
13T0920,439386,432651,2,1,29/03/2014,1315,3,1,1,1,1,1,1,67,5
14K0229,429360,433720,1,2,20/04/2014,349,2,1,4,1,2,1,1,24,9
15E1547,431456,439242,3,1,14/05/2014,1920,6,1,1,1,1,1,1,36,4
16E1528,430877,429790,1,1,14/06/2014,1935,6,1,1,1,3,1,2,1,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,1,1,1,24,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,2,1,1,25,9
1811797,422583,427879,2,2,01/08/2014,2315,3,2,4,1,1,1,2,28,9
18A1643,430785,433439,1,1,10/08/2014,2302,3,2,4,5,3,1,1,48,11
18M0442,439395,430805,2,1,22/08/2014,1110,6,1,1,1,1,1,1,43,5
19A0520,428506,433960,1,2,10/09/2014,1150,3,1,1,1,3,1,2,23,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,1,1,1,77,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,2,1,2,88,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,1,1,1,28,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,2,1,2,25,9
19K1055,431942,438112,1,2,20/09/2014,1545,6,2,1,1,2,1,1,23,9
1A21470,428015,426158,1,1,02/10/2014,2020,3,1,4,1,1,1,1,52,21
1AP1208,443588,435652,1,1,25/10/2014,1640,4,1,1,1,1,1,1,61,9
1BQ0425,436295,434707,1,1,26/11/2014,1051,6,1,1,1,3,1,2,83,21
1C40188,439923,428815,5,3,04/12/2014,736,6,2,6,1,1,1,1,17,9
1CA1274,435776,436795,1,1,10/12/2014,1830,3,2,4,5,3,1,1,30,9
1CI1594,437870,432950,1,1,18/12/2014,2050,2,2,6,2,3,1,1,51,21
1CQ0913,432565,439367,2,1,26/12/2014,1752,3,2,4,2,1,1,1,58,9
1CQ0917,429965,427061,1,1,26/12/2014,1754,6,2,4,2,3,1,1,63,11
13T0920,439386,432651,2,1,29/03/2014,1315,3,1,1,1,1,1,1,67,5
14K0229,429360,433720,1,2,20/04/2014,349,2,1,4,1,2,1,1,24,9
15E1547,431456,439242,3,1,14/05/2014,1920,6,1,1,1,1,1,1,36,4
16E1528,430877,429790,1,1,14/06/2014,1935,6,1,1,1,3,1,2,1,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,1,1,1,24,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,2,1,1,25,9
1811797,422583,427879,2,2,01/08/2014,2315,3,2,4,1,1,1,2,28,9
18A1643,430785,433439,1,1,10/08/2014,2302,3,2,4,5,3,1,1,48,11
18M0442,439395,430805,2,1,22/08/2014,1110,6,1,1,1,1,1,1,43,5
19A0520,428506,433960,1,2,10/09/2014,1150,3,1,1,1,3,1,2,23,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,1,1,1,77,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,2,1,2,88,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,1,1,1,28,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,2,1,2,25,9
19K1055,431942,438112,1,2,20/09/2014,1545,6,2,1,1,2,1,1,23,9
1A21470,428015,426158,1,1,02/10/2014,2020,3,1,4,1,1,1,1,52,21
1AP1208,443588,435652,1,1,25/10/2014,1640,4,1,1,1,1,1,1,61,9
1BQ0425,436295,434707,1,1,26/11/2014,1051,6,1,1,1,3,1,2,83,21
1C40188,439923,428815,5,3,04/12/2014,736,6,2,6,1,1,1,1,17,9
1CA1274,435776,436795,1,1,10/12/2014,1830,3,2,4,5,3,1,1,30,9
1CI1594,437870,432950,1,1,18/12/2014,2050,2,2,6,2,3,1,1,51,21
1CQ0913,432565,439367,2,1,26/12/2014,1752,3,2,4,2,1,1,1,58,9
1CQ0917,429965,427061,1,1,26/12/2014,1754,6,2,4,2,3,1,1,63,11
13T0920,439386,432651,2,1,29/03/2014,1315,3,1,1,1,1,1,1,67,5
14K0229,429360,433720,1,2,20/04/2014,349,2,1,4,1,2,1,1,24,9
15E1547,431456,439242,3,1,14/05/2014,1920,6,1,1,1,1,1,1,36,4
16E1528,430877,429790,1,1,14/06/2014,1935,6,1,1,1,3,1,2,1,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,1,1,1,24,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,2,1,1,25,9
1811797,422583,427879,2,2,01/08/2014,2315,3,2,4,1,1,1,2,28,9
18A1643,430785,433439,1,1,10/08/2014,2302,3,2,4,5,3,1,1,48,11
18M0442,439395,430805,2,1,22/08/2014,1110,6,1,1,1,1,1,1,43,5
19A0520,428506,433960,1,2,10/09/2014,1150,3,1,1,1,3,1,2,23,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,1,1,1,77,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,2,1,2,88,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,1,1,1,28,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,2,1,2,25,9
19K1055,431942,438112,1,2,20/09/2014,1545,6,2,1,1,2,1,1,23,9
1A21470,428015,426158,1,1,02/10/2014,2020,3,1,4,1,1,1,1,52,21
1AP1208,443588,435652,1,1,25/10/2014,1640,4,1,1,1,1,1,1,61,9
1BQ0425,436295,434707,1,1,26/11/2014,1051,6,1,1,1,3,1,2,83,21
1C40188,439923,428815,5,3,04/12/2014,736,6,2,6,1,1,1,1,17,9
1CA1274,435776,436795,1,1,10/12/2014,1830,3,2,4,5,3,1,1,30,9
1CI1594,437870,432950,1,1,18/12/2014,2050,2,2,6,2,3,1,1,51,21
1CQ0913,432565,439367,2,1,26/12/2014,1752,3,2,4,2,1,1,1,58,9
1CQ0917,429965,427061,1,1,26/12/2014,1754,6,2,4,2,3,1,1,63,11
13T0920,439386,432651,2,1,29/03/2014,1315,3,1,1,1,1,1,1,67,5
14K0229,429360,433720,1,2,20/04/2014,349,2,1,4,1,2,1,1,24,9
15E1547,431456,439242,3,1,14/05/2014,1920,6,1,1,1,1,1,1,36,4
16E1528,430877,429790,1,1,14/06/2014,1935,6,1,1,1,3,1,2,1,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,1,1,1,24,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,2,1,1,25,9
1811797,422583,427879,2,2,01/08/2014,2315,3,2,4,1,1,1,2,28,9
18A1643,430785,433439,1,1,10/08/2014,2302,3,2,4,5,3,1,1,48,11
18M0442,439395,430805,2,1,22/08/2014,1110,6,1,1,1,1,1,1,43,5
19A0520,428506,433960,1,2,10/09/2014,1150,3,1,1,1,3,1,2,23,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,1,1,1,77,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,2,1,2,88,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,1,1,1,28,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,2,1,2,25,9
19K1055,431942,438112,1,2,20/09/2014,1545,6,2,1,1,2,1,1,23,9
1A21470,428015,426158,1,1,02/10/2014,2020,3,1,4,1,1,1,1,52,21
1AP1208,443588,435652,1,1,25/10/2014,1640,4,1,1,1,1,1,1,61,9
1BQ0425,436295,434707,1,1,26/11/2014,1051,6,1,1,1,3,1,2,83,21
1C40188,439923,428815,5,3,04/12/2014,736,6,2,6,1,1,1,1,17,9
1CA1274,435776,436795,1,1,10/12/2014,1830,3,2,4,5,3,1,1,30,9
1CI1594,437870,432950,1,1,18/12/2014,2050,2,2,6,2,3,1,1,51,21
1CQ0913,432565,439367,2,1,26/12/2014,1752,3,2,4,2,1,1,1,58,9
1CQ0917,429965,427061,1,1,26/12/2014,1754,6,2,4,2,3,1,1,63,11
13T0920,439386,432651,2,1,29/03/2014,1315,3,1,1,1,1,1,1,67,5
14K0229,429360,433720,1,2,20/04/2014,349,2,1,4,1,2,1,1,24,9
15E1547,431456,439242,3,1,14/05/2014,1920,6,1,1,1,1,1,1,36,4
16E1528,430877,429790,1,1,14/06/2014,1935,6,1,1,1,3,1,2,1,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,1,1,1,24,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,2,1,1,25,9
1811797,422583,427879,2,2,01/08/2014,2315,3,2,4,1,1,1,2,28,9
18A1643,430785,433439,1,1,10/08/2014,2302,3,2,4,5,3,1,1,48,11
18M0442,439395,430805,2,1,22/08/2014,1110,6,1,1,1,1,1,1,43,5
19A0520,428506,433960,1,2,10/09/2014,1150,3,1,1,1,3,1,2,23,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,1,1,1,77,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,2,1,2,88,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,1,1,1,28,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,2,1,2,25,9
19K1055,431942,438112,1,2,20/09/2014,1545,6,2,1,1,2,1,1,23,9
1A21470,428015,426158,1,1,02/10/2014,2020,3,1,4,1,1,1,1,52,21
1AP1208,443588,435652,1,1,25/10/2014,1640,4,1,1,1,1,1,1,61,9
1BQ0425,436295,434707,1,1,26/11/2014,1051,6,1,1,1,3,1,2,83,21
1C40188,439923,428815,5,3,04/12/2014,736,6,2,6,1,1,1,1,17,9
1CA1274,435776,436795,1,1,10/12/2014,1830,3,2,4,5,3,1,1,30,9
1CI1594,437870,432950,1,1,18/12/2014,2050,2,2,6,2,3,1,1,51,21
1CQ0913,432565,439367,2,1,26/12/2014,1752,3,2,4,2,1,1,1,58,9
1CQ0917,429965,427061,1,1,26/12/2014,1754,6,2,4,2,3,1,1,63,11
13T0920,439386,432651,2,1,29/03/2014,1315,3,1,1,1,1,1,1,67,5
14K0229,429360,433720,1,2,20/04/2014,349,2,1,4,1,2,1,1,24,9
15E1547,431456,439242,3,1,14/05/2014,1920,6,1,1,1,1,1,1,36,4
16E1528,430877,429790,1,1,14/06/2014,1935,6,1,1,1,3,1,2,1,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,1,1,1,24,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,2,1,1,25,9
1811797,422583,427879,2,2,01/08/2014,2315,3,2,4,1,1,1,2,28,9
18A1643,430785,433439,1,1,10/08/2014,2302,3,2,4,5,3,1,1,48,11
18M0442,439395,430805,2,1,22/08/2014,1110,6,1,1,1,1,1,1,43,5
19A0520,428506,433960,1,2,10/09/2014,1150,3,1,1,1,3,1,2,23,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,1,1,1,77,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,2,1,2,88,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,1,1,1,28,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,2,1,2,25,9
19K1055,431942,438112,1,2,20/09/2014,1545,6,2,1,1,2,1,1,23,9
1A21470,428015,426158,1,1,02/10/2014,2020,3,1,4,1,1,1,1,52,21
1AP1208,443588,435652,1,1,25/10/2014,1640,4,1,1,1,1,1,1,61,9
1BQ0425,436295,434707,1,1,26/11/2014,1051,6,1,1,1,3,1,2,83,21
1C40188,439923,428815,5,3,04/12/2014,736,6,2,6,1,1,1,1,17,9
1CA1274,435776,436795,1,1,10/12/2014,1830,3,2,4,5,3,1,1,30,9
1CI1594,437870,432950,1,1,18/12/2014,2050,2,2,6,2,3,1,1,51,21
1CQ0913,432565,439367,2,1,26/12/2014,1752,3,2,4,2,1,1,1,58,9
1CQ0917,429965,427061,1,1,26/12/2014,1754,6,2,4,2,3,1,1,63,11
13T0920,439386,432651,2,1,29/03/2014,1315,3,1,1,1,1,1,1,67,5
14K0229,429360,433720,1,2,20/04/2014,349,2,1,4,1,2,1,1,24,9
15E1547,431456,439242,3,1,14/05/2014,1920,6,1,1,1,1,1,1,36,4
16E1528,430877,429790,1,1,14/06/2014,1935,6,1,1,1,3,1,2,1,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,1,1,1,24,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,2,1,1,25,9
1811797,422583,427879,2,2,01/08/2014,2315,3,2,4,1,1,1,2,28,9
18A1643,430785,433439,1,1,10/08/2014,2302,3,2,4,5,3,1,1,48,11
18M0442,439395,430805,2,1,22/08/2014,1110,6,1,1,1,1,1,1,43,5
19A0520,428506,433960,1,2,10/09/2014,1150,3,1,1,1,3,1,2,23,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,1,1,1,77,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,2,1,2,88,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,1,1,1,28,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,2,1,2,25,9
19K1055,431942,438112,1,2,20/09/2014,1545,6,2,1,1,2,1,1,23,9
1A21470,428015,426158,1,1,02/10/2014,2020,3,1,4,1,1,1,1,52,21
1AP1208,443588,435652,1,1,25/10/2014,1640,4,1,1,1,1,1,1,61,9
1BQ0425,436295,434707,1,1,26/11/2014,1051,6,1,1,1,3,1,2,83,21
1C40188,439923,428815,5,3,04/12/2014,736,6,2,6,1,1,1,1,17,9
1CA1274,435776,436795,1,1,10/12/2014,1830,3,2,4,5,3,1,1,30,9
1CI1594,437870,432950,1,1,18/12/2014,2050,2,2,6,2,3,1,1,51,21
1CQ0913,432565,439367,2,1,26/12/2014,1752,3,2,4,2,1,1,1,58,9
1CQ0917,429965,427061,1,1,26/12/2014,1754,6,2,4,2,3,1,1,63,11
13T0920,439386,432651,2,1,29/03/2014,1315,3,1,1,1,1,1,1,67,5
14K0229,429360,433720,1,2,20/04/2014,349,2,1,4,1,2,1,1,24,9
15E1547,431456,439242,3,1,14/05/2014,1920,6,1,1,1,1,1,1,36,4
16E1528,430877,429790,1,1,14/06/2014,1935,6,1,1,1,3,1,2,1,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,1,1,1,24,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,2,1,1,25,9
1811797,422583,427879,2,2,01/08/2014,2315,3,2,4,1,1,1,2,28,9
18A1643,430785,433439,1,1,10/08/2014,2302,3,2,4,5,3,1,1,48,11
18M0442,439395,430805,2,1,22/08/2014,1110,6,1,1,1,1,1,1,43,5
19A0520,428506,433960,1,2,10/09/2014,1150,3,1,1,1,3,1,2,23,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,1,1,1,77,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,2,1,2,88,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,1,1,1,28,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,2,1,2,25,9
19K1055,431942,438112,1,2,20/09/2014,1545,6,2,1,1,2,1,1,23,9
1A21470,428015,426158,1,1,02/10/2014,2020,3,1,4,1,1,1,1,52,21
1AP1208,443588,435652,1,1,25/10/2014,1640,4,1,1,1,1,1,1,61,9
1BQ0425,436295,434707,1,1,26/11/2014,1051,6,1,1,1,3,1,2,83,21
1C40188,439923,428815,5,3,04/12/2014,736,6,2,6,1,1,1,1,17,9
1CA1274,435776,436795,1,1,10/12/2014,1830,3,2,4,5,3,1,1,30,9
1CI1594,437870,432950,1,1,18/12/2014,2050,2,2,6,2,3,1,1,51,21
1CQ0913,432565,439367,2,1,26/12/2014,1752,3,2,4,2,1,1,1,58,9
1CQ0917,429965,427061,1,1,26/12/2014,1754,6,2,4,2,3,1,1,63,11
13T0920,439386,432651,2,1,29/03/2014,1315,3,1,1,1,1,1,1,67,5
14K0229,429360,433720,1,2,20/04/2014,349,2,1,4,1,2,1,1,24,9
15E1547,431456,439242,3,1,14/05/2014,1920,6,1,1,1,1,1,1,36,4
16E1528,430877,429790,1,1,14/06/2014,1935,6,1,1,1,3,1,2,1,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,1,1,1,24,9
17R1755,436225,427792,1,3,27/07/2014,2134,3,1,4,1,2,1,1,25,9
1811797,422583,427879,2,2,01/08/2014,2315,3,2,4,1,1,1,2,28,9
18A1643,430785,433439,1,1,10/08/2014,2302,3,2,4,5,3,1,1,48,11
18M0442,439395,430805,2,1,22/08/2014,1110,6,1,1,1,1,1,1,43,5
19A0520,428506,433960,1,2,10/09/2014,1150,3,1,1,1,3,1,2,23,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,1,1,1,77,9
19A0747,428750,430778,2,2,10/09/2014,1419,6,1,1,1,2,1,2,88,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,1,1,1,28,9
19K0369,429940,430394,2,3,20/09/2014,539,6,2,4,2,2,1,2,25,9
19K1055,431942,438112,1,2,20/09/2014,1545,6,2,1,1,2,1,1,23,9
1A21470,428015,426158,1,1,02/10/2014,2020,3,1,4,1,1,1,1,52,21
1AP1208,443588,435652,1,1,25/10/2014,1640,4,1,1,1,1,1,1,61,9
1BQ0425,436295,434707,1,1,26/11/2014,1051,6,1,1,1,3,1,2,83,21
1C40188,439923,428815,5,3,04/12/2014,736,6,2,6,1,1,1,1,17,9
1CA1274,435776,436795,1,1,10/12/2014,1830,3,2,4,5,3,1,1,30,9
